"","MISSION_DATE","TGT_LATITUDE_WGS84","TGT_LONGITUDE_WGS84","CALCULATED_BOMBLOAD_LBS"
"437","6/27/51",38.47999,127.6013,11500
"439","6/28/51",38.43723,125.7841,7200
"440","6/28/51",38.43723,125.7841,7200
"441","6/28/51",38.40605,127.45385,500
"442","6/28/51",38.05909,126.64056,500
"443","6/28/51",38.08942,126.81061,500
"444","6/28/51",38.37932,127.47731,500
"445","6/28/51",38.37856,127.42009,500
"446","6/28/51",38.25237,126.85144,500
"447","6/28/51",38.25258,126.86286,500
"448","6/28/51",38.24358,126.86312,500
"449","6/28/51",38.28002,126.88492,500
"450","6/28/51",38.30904,126.99844,500
"451","6/28/51",38.30426,126.73556,500
"452","6/28/51",38.25901,126.72553,500
"453","6/28/51",38.26667,126.65672,1000
"454","6/28/51",38.21656,126.86391,1000
"455","6/28/51",38.29823,126.89582,1000
"456","6/28/51",38.42194,128.11791,1000
"457","6/28/51",38.29467,127.98223,1000
"460","6/28/51",38.00574,126.67644,1000
"462","6/28/51",38.40409,128.14103,1000
"464","6/28/51",38.47735,127.39501,2000
"465","6/28/51",38.44702,127.88842,2000
"466","6/28/51",38.40605,127.45385,4500
"467","6/28/51",38.05909,126.64056,4500
"468","6/28/51",38.08942,126.81061,4500
"469","6/28/51",38.37932,127.47731,4500
"470","6/28/51",38.37856,127.42009,4500
"471","6/28/51",38.25237,126.85144,4500
"472","6/28/51",38.25258,126.86286,4500
"473","6/28/51",38.24358,126.86312,4500
"474","6/28/51",38.28002,126.88492,4500
"475","6/28/51",38.30904,126.99844,4500
"476","6/28/51",38.30426,126.73556,4500
"477","6/28/51",38.25901,126.72553,4500
"478","6/28/51",38.26667,126.65672,9000
"479","6/28/51",38.21656,126.86391,9000
"480","6/28/51",38.29823,126.89582,9000
"481","6/28/51",38.42194,128.11791,9000
"482","6/28/51",38.29467,127.98223,9000
"485","6/28/51",38.00574,126.67644,9000
"487","6/28/51",38.40409,128.14103,9000
"489","6/28/51",38.47735,127.39501,18000
"490","6/28/51",38.30338,127.9478,18000
"491","6/28/51",38.44702,127.88842,18000
"492","6/29/51",40.02463,127.96871,8000
"493","6/29/51",38.41049,126.22838,8000
"494","6/29/51",39.83209,127.64438,3500
"495","6/29/51",38.39611,127.38535,5000
"496","6/29/51",38.17009,127.33328,5000
"497","6/29/51",38.63766,128.04633,5000
"498","6/29/51",39.15357,126.03745,6000
"499","6/29/51",38.63688,127.95443,7500
"500","6/29/51",38.27655,127.97105,7500
"501","6/29/51",38.46328,127.71624,8500
"502","6/29/51",38.38742,127.40845,9000
"503","6/29/51",38.49881,127.66974,10000
"504","6/29/51",38.64453,125.78062,14500
"505","6/29/51",39.83209,127.64438,32500
"506","6/29/51",39.15357,126.03745,53000
"507","6/29/51",38.64453,125.78062,57500
"510","6/30/51",39.43032,127.24556,2900
"512","6/30/51",38.89947,125.23711,8600
"513","6/30/51",39.43032,127.24556,11500
"514","6/30/51",39.01246,125.84117,13000
"516","6/30/51",38.89947,125.23711,34600
"517","6/30/51",39.01246,125.84117,51800
"518","6/30/51",38.41049,126.22838,8000
"519","6/30/51",38.38155,127.66044,2000
"520","6/30/51",39.83181,127.62102,2000
"521","6/30/51",38.38155,127.66044,18000
"522","6/30/51",39.83181,127.62102,18000
"524","7/1/51",38.15483,126.47772,1400
"525","7/1/51",38.15483,126.47772,5800
"526","7/1/51",38.42904,126.25058,10100
"527","7/1/51",39.18731,125.68614,11500
"528","7/1/51",38.42904,126.25058,40300
"529","7/1/51",39.18731,125.68614,46100
"530","7/1/51",38.815,125.40722,8000
"531","7/1/51",38.63766,128.04633,8000
"532","7/1/51",38.52584,127.66924,20000
"545","7/3/51",39.01412,125.77195,2900
"546","7/3/51",38.64426,125.7921,8600
"547","7/3/51",39.01412,125.77195,11500
"548","7/3/51",39.01412,125.77195,14400
"549","7/3/51",38.26812,128.03975,14400
"550","7/3/51",38.64426,125.7921,34600
"551","7/3/51",39.01412,125.77195,57600
"552","7/3/51",38.38017,126.48136,1000
"553","7/3/51",38.38017,126.48136,1000
"554","7/3/51",38.38017,126.48136,1000
"555","7/3/51",38.38892,126.46961,1000
"556","7/3/51",38.38892,126.46961,1000
"557","7/3/51",38.38892,126.46961,1000
"558","7/3/51",38.38892,126.46961,1000
